"day_utc","views","unique_visitors","last_seen_snapshot_utc"
"2026-08-26","2","2","2026-09-09T19:18:31Z"
"2026-08-27","7","4","2026-09-09T19:18:31Z"
"2026-08-28","4","4","2026-09-09T19:18:31Z"
"2026-08-29","3","1","2026-09-09T19:18:31Z"
"2026-08-30","20","5","2026-09-09T19:18:31Z"
"2026-08-31","15","8","2026-09-09T19:18:31Z"
"2026-09-01","0","0","2026-09-09T19:18:31Z"
"2026-09-02","6","5","2026-09-09T19:18:31Z"
"2026-09-03","8","5","2026-09-09T19:18:31Z"
"2026-09-04","7","4","2026-09-09T19:18:31Z"
"2026-09-05","3","3","2026-09-09T19:18:31Z"
"2026-09-06","1","1","2026-09-09T19:18:31Z"
"2026-09-07","5","2","2026-09-09T19:18:31Z"
"2026-09-08","1","1","2026-09-09T19:18:31Z"
