"day_utc","views","unique_visitors","last_seen_snapshot_utc"
"2026-09-10","17","8","2026-09-25T20:02:27Z"
"2026-09-11","6","4","2026-09-25T20:02:27Z"
"2026-09-12","1","1","2026-09-25T20:02:27Z"
"2026-09-13","5","2","2026-09-25T20:02:27Z"
"2026-09-14","6","6","2026-09-25T20:02:27Z"
"2026-09-15","2","2","2026-09-25T20:02:27Z"
"2026-09-16","14","8","2026-09-25T20:02:27Z"
"2026-09-17","2","1","2026-09-25T20:02:27Z"
"2026-09-18","4","3","2026-09-25T20:02:27Z"
"2026-09-19","2","2","2026-09-25T20:02:27Z"
"2026-09-20","0","0","2026-09-25T20:02:27Z"
"2026-09-21","8","5","2026-09-25T20:02:27Z"
"2026-09-22","3","2","2026-09-25T20:02:27Z"
"2026-09-23","7","3","2026-09-25T20:02:27Z"
