"day_utc","views","unique_visitors","last_seen_snapshot_utc"
"2026-06-27","31","11","2026-07-11T17:17:51Z"
"2026-06-28","17","7","2026-07-11T17:17:51Z"
"2026-06-29","12","7","2026-07-11T17:17:51Z"
"2026-06-30","42","4","2026-07-11T17:17:51Z"
"2026-07-01","7","5","2026-07-11T17:17:51Z"
"2026-07-02","16","6","2026-07-11T17:17:51Z"
"2026-07-03","7","6","2026-07-11T17:17:51Z"
"2026-07-04","9","6","2026-07-11T17:17:51Z"
"2026-07-05","4","3","2026-07-11T17:17:51Z"
"2026-07-06","25","14","2026-07-11T17:17:51Z"
"2026-07-07","12","7","2026-07-11T17:17:51Z"
"2026-07-08","6","5","2026-07-11T17:17:51Z"
"2026-07-09","11","7","2026-07-11T17:17:51Z"
"2026-07-10","9","6","2026-07-11T17:17:51Z"
