"day_utc","views","unique_visitors","last_seen_snapshot_utc"
"2026-05-07","19","13","2026-05-21T18:14:36Z"
"2026-05-08","32","14","2026-05-21T18:14:36Z"
"2026-05-09","121","68","2026-05-21T18:14:36Z"
"2026-05-10","60","28","2026-05-21T18:14:36Z"
"2026-05-11","46","30","2026-05-21T18:14:36Z"
"2026-05-12","57","28","2026-05-21T18:14:36Z"
"2026-05-13","92","53","2026-05-21T18:14:36Z"
"2026-05-14","69","29","2026-05-21T18:14:36Z"
"2026-05-15","88","32","2026-05-21T18:14:36Z"
"2026-05-16","68","27","2026-05-21T18:14:36Z"
"2026-05-17","117","44","2026-05-21T18:14:36Z"
"2026-05-18","59","35","2026-05-21T18:14:36Z"
"2026-05-19","68","26","2026-05-21T18:14:36Z"
"2026-05-20","20","11","2026-05-21T18:14:36Z"
