"day_utc","views","unique_visitors","last_seen_snapshot_utc"
"2026-05-12","57","28","2026-05-26T18:38:02Z"
"2026-05-13","92","53","2026-05-26T18:38:02Z"
"2026-05-14","69","29","2026-05-26T18:38:02Z"
"2026-05-15","88","32","2026-05-26T18:38:02Z"
"2026-05-16","68","27","2026-05-26T18:38:02Z"
"2026-05-17","117","44","2026-05-26T18:38:02Z"
"2026-05-18","59","35","2026-05-26T18:38:02Z"
"2026-05-19","68","26","2026-05-26T18:38:02Z"
"2026-05-20","20","11","2026-05-26T18:38:02Z"
"2026-05-21","18","10","2026-05-26T18:38:02Z"
"2026-05-22","33","17","2026-05-26T18:38:02Z"
"2026-05-23","52","16","2026-05-26T18:38:02Z"
"2026-05-24","33","15","2026-05-26T18:38:02Z"
"2026-05-25","49","26","2026-05-26T18:38:02Z"
