"day_utc","views","unique_visitors","last_seen_snapshot_utc"
"2026-05-01","40","16","2026-05-15T17:54:07Z"
"2026-05-02","19","10","2026-05-15T17:54:07Z"
"2026-05-03","25","15","2026-05-15T17:54:07Z"
"2026-05-04","44","19","2026-05-15T17:54:07Z"
"2026-05-05","13","9","2026-05-15T17:54:07Z"
"2026-05-06","42","5","2026-05-15T17:54:07Z"
"2026-05-07","19","13","2026-05-15T17:54:07Z"
"2026-05-08","32","14","2026-05-15T17:54:07Z"
"2026-05-09","121","68","2026-05-15T17:54:07Z"
"2026-05-10","60","28","2026-05-15T17:54:07Z"
"2026-05-11","46","30","2026-05-15T17:54:07Z"
"2026-05-12","57","28","2026-05-15T17:54:07Z"
"2026-05-13","92","53","2026-05-15T17:54:07Z"
"2026-05-14","69","29","2026-05-15T17:54:07Z"
